SKU,Nombre,Descripcion,Precio,Stock,Categoria,Tallas,Colores,Imagen
CW-001,Hoodie CaoxWear Tag,"Hoodie negro con logo CW frontal, estilo streetwear para uso diario.",189,24,Hoodies,"S, M, L, XL","Negro, Blanco",products/cw-001_hoodie_caoxwear_tag.png
CW-002,Tee Freestyle X,Polo blanco oversize con arte freestyle y detalles en rojo.,89,38,Polos,"S, M, L, XL","Blanco, Negro",products/cw-002_tee_freestyle_x.png
CW-003,Hoodie Urban Drip,"Hoodie rojo con gráfico urbano, cómodo y abrigador.",199,15,Hoodies,"S, M, L","Rojo, Negro",products/cw-003_hoodie_urban_drip.png
CW-004,Tee CaoxWear Energy,Polo negro con marca CW grande y detalles energéticos.,79,42,Polos,"S, M, L, XL",Negro,products/cw-004_tee_caoxwear_energy.png
CW-005,Shorts Street,Short urbano liviano con logo lateral y fit relajado.,109,30,Shorts,"S, M, L","Negro, Gris",products/cw-005_shorts_street.png
CW-006,Casaca Bomber Roots,Casaca bomber negra con inspiración peruana y acentos rojos.,249,18,Casacas,"S, M, L, XL","Negro, Rojo",products/cw-006_casaca_bomber_roots.png
CW-007,Gorra CW Classic,Gorra negra de visera curva con bordado CW frontal.,69,55,Gorras,Única,Negro,products/cw-007_gorra_cw_classic.png
CW-008,Cargo Pants Urban,Pantalón cargo charcoal con bolsillos laterales y detalle CW.,189,20,Pantalones,"S, M, L, XL","Charcoal, Negro",products/cw-008_cargo_pants_urban.png
CW-009,Tee Tie-Dye Spiral,Polo tie-dye blanco/negro con efecto espiral y logo central.,129,26,Tie-Dye,"S, M, L","Blanco, Negro",products/cw-009_tee_tie-dye_spiral.png
CW-010,Hoodie Freestyle Perú,Hoodie azul eléctrico con gráfica freestyle y logo contrastado.,209,12,Hoodies,"S, M, L","Azul, Negro",products/cw-010_hoodie_freestyle_perú.png
CW-011,Casaca Denim Street,Casaca estilo street con textura denim oscura y detalles de contraste.,239,10,Casacas,"M, L, XL","Azul, Negro",products/cw-011_casaca_denim_street.png
CW-012,Tee Lima Roots,Polo off-white con arte inspirado en Lima y raíces urbanas.,99,32,Polos,"S, M, L",Off-White,products/cw-012_tee_lima_roots.png
CW-013,Gorra Peruvian Roots,Gorra roja con parche frontal de inspiración peruana.,79,22,Gorras,Única,"Rojo, Negro",products/cw-013_gorra_peruvian_roots.png
CW-014,Jogger CW Motion,Jogger negro con fit cómodo y detalle CW en pierna.,169,19,Pantalones,"S, M, L, XL",Negro,products/cw-014_jogger_cw_motion.png
CW-015,Hoodie Charcoal Drip,Hoodie charcoal con logo blanco y vibe minimal street.,189,28,Hoodies,"S, M, L, XL",Charcoal,products/cw-015_hoodie_charcoal_drip.png
CW-016,Tee 2000s Energy,Polo negro con gráficos inspirados en la energía de los 2000s.,89,35,Polos,"S, M, L, XL","Negro, Rojo",products/cw-016_tee_2000s_energy.png
CW-017,Casaca Windbreaker X,Casaca ligera con corte deportivo y acentos azul eléctrico.,219,16,Casacas,"S, M, L","Negro, Azul",products/cw-017_casaca_windbreaker_x.png
CW-018,Gorra Drip Blue,"Gorra azul con logo CW en blanco, ideal para outfits casuales.",75,33,Gorras,Única,Azul,products/cw-018_gorra_drip_blue.png
CW-019,Shorts Freestyle Black,Short negro con detalle rojo y ajuste cómodo.,99,21,Shorts,"S, M, L","Negro, Rojo",products/cw-019_shorts_freestyle_black.png
CW-020,Bolso Crossbody CW,Bolso crossbody urbano con compartimento principal y logo CW.,119,14,Accesorios,Única,Negro,products/cw-020_bolso_crossbody_cw.png
CW-021,Tee Graffiti Mark,Polo blanco con trazos graffiti y firma CaoxWear.,95,40,Polos,"S, M, L","Blanco, Rojo",products/cw-021_tee_graffiti_mark.png
